"name","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks",".","X250K1_pos","CMD.CTRL.GP1_Brain_pos","CMD.CTRL.GP1_Gastroc_pos","CMD.CTRL.GP1_Heart_pos","CMD.CTRL.GP1_Kidney_pos","CMD.CTRL.GP1_Liver_pos","CMD.CTRL.GP1_Pancreas_pos","CMD.CTRL.GP1_Quad_pos","CMD.CTRL.GP1_Spleen_pos","CMD.GP2_Brain_pos","CMD.GP2_Gastroc_pos","CMD.GP2_Heart_pos","CMD.GP2_Kidney_pos","CMD.GP2_Liver_pos","CMD.GP2_Pancreas_pos","CMD.GP2_Quad_pos","CMD.GP2_Spleen_pos","CMD.GP3_Brain_pos","CMD.GP3_Gastroc_pos","CMD.GP3_Heart_pos","CMD.GP3_Kidney_pos","CMD.GP3_Liver_pos","CMD.GP3_Pancreas_pos","CMD.GP3_Quad_pos","CMD.GP3_Spleen_pos","QC.250K2_pos","QC.Blank2_pos","QC.Pool1_pos","QC.Pool2_pos"
"M119T621",119.080414890932,119.077894375941,119.080699661589,621.108,616.631,622.652,19,19,1047380.25797559,1312139.0821499,299510.496233398,1818341.25709558,3964285.37007989,1966016.4678669,4311144.42739583,151211.688028127,699272.091529785,6480458.83567616,1654514.35825706,163168.248825,2820893.46959209,408683.840390625,3510411.51405467,1902571.89782143,735720.600572262,4249145.39597599,1837386.46131206,390991.304721137,3182210.08083057,1377005.77005013,8929535.93004379,345040.470755857,1108833.10108594,677908.149143548,1442326.77856815,1998435.92315674,258613.656054687
"M119T107",119.085312954683,119.085253479083,119.085343285017,107.106,104.472,107.45,26,26,918451.920119524,47250921.6852926,54529299.6734531,48578290.7470875,63480887.3040062,69243901.7756437,38647748.5050781,54075526.7259656,54770373.5411813,66901124.90435,53336453.4630995,53485933.812025,53031451.5118781,48197849.3743125,46171025.9038219,56161493.7935322,46852402.7479688,18691638.2936172,52401910.5715656,45005298.1,56164931.6467273,69691875.5289375,58296172.6865454,52127455.7889089,42297778.4258068,767586.936668987,227143.678682761,50886748.9529095,36572036.630914
"M119T128",119.08531293412,119.083730937619,119.085411376215,128.258,122.383,130.594,23,23,913043.566763123,2561499.62985417,3806093.25614731,12518638.4330273,15921952.1531973,10895153.4685926,4665855.1999375,9336964.13248166,9342558.7918077,19181642.4574683,9063242.52170191,5347022.7047526,3615395.34294643,12471332.208534,2203360.28717552,2645905.17697917,8527633.6696875,3711995.65711839,15552548.8629844,2832151.67046874,11369667.6881211,12546378.4970893,9891941.62814422,7499205.76567721,11078867.1944855,843397.693622091,319314.42998752,6649104.37763172,1315911.33931463
"M119T577",119.089377180348,119.089301680473,119.089469359663,576.7575,574.439,578.307,28,28,76081618.4844562,17137789.7748749,20275014.9989155,23902323.5063697,373736390.61191,61471711.8103097,99189238.8868993,17305655.8680556,41351527.5992083,24133506.2841977,17495568.8033197,18630240.381328,285694741.092945,30334946.6107079,73360839.8738248,18322608.1322754,26982860.6621873,14574582.3079826,15063306.9958593,280702891.168937,264586639.933636,99485661.6925006,55789656.8996001,18930851.9617842,28840527.5625175,58154858.9056123,3139097.1995367,62450475.2174453,30930640.5057648
"M119T593",119.089410976596,119.085336196321,119.089663020247,593.3255,591.999,604.951,28,26,35008551.3358344,10547063.9875516,15805635.4965974,7975201.57861662,56747654.7674767,18399465.6110652,21520204.9716278,12444436.15275,21085508.5502902,11874438.8537625,16443997.8717574,11163512.8828125,47464366.7485009,21598741.0974608,38702856.35054,16380585.98925,17939629.5192024,6873523.15037504,16274930.1790179,50675559.4355066,39854222.8587402,28387707.6085332,31338211.355048,15927800.0486571,14498147.4358875,32301246.0424287,2970094.03103511,18591725.7619175,21724726.2007709
"M120T664",120.065332293404,120.065269470215,120.065380515814,663.587,634.422,667.663,33,28,241959608.089274,60288823.634444,84560592.7237507,121493200.160448,140470488.793001,76637771.787319,122974456.651578,75031625.7120211,140479458.4515,318120285.391418,130007316.044584,154391573.547622,155277547.950647,87895033.5686505,273277270.625314,115174479.71425,187191101.952609,142556321.955347,156969013.040138,220110315.351666,190883325.373607,92263527.0905462,443843097.233099,149563753.119108,242639003.195312,239284759.793611,373323.001026591,49825342.8163454,77785857.6742445
"M120T687",120.065331470648,120.065249473731,120.065466133388,686.9375,682.759,688.108,20,20,17105939.309787,2540483.03339062,2465647.95822443,24306125.5703169,26624137.4522874,4858182.30663672,22500218.2884597,10372036.2426556,25753884.9517789,54708930.2062369,16065011.5220478,29018383.1767359,24050774.0787935,5533183.51409721,10883345.2619791,4103781.11215626,27087518.8510679,3779359.91749136,20187130.3555784,45377230.7909813,33562469.6257327,4767195.03745836,68455190.2419167,23399136.2777719,27226700.426879,31848011.6148729,546037.558248749,9761644.80025863,18126833.4850243
"M120T714",120.065321795513,120.065056892639,120.065400050855,713.876,694.977,734.519,35,20,2550451.0482363,1023202.30347586,1732204.32724635,1940455.13535157,1257503.96523437,845770.738261718,1705958.3571449,1241218.70006646,2411408.88965626,3424317.72623433,1937973.83962238,1587190.26601876,15647219.7449252,4508470.74320704,5581844.83865104,4038614.75770734,2424201.37483258,2001320.83515626,2358880.66388249,2520497.96335766,4298335.96712504,6187729.09012497,18440678.6971876,2417550.45344186,2262503.37829733,5456483.15902138,233917.622337103,1460542.78128038,4734058.5339209
"M120T488",120.080572995988,120.080542033286,120.080608850187,488.4075,486.626,504.356,28,28,536342818.911095,39558197.4201719,93095554.5321988,92749294.0363341,107851846.801388,81049249.792975,142509663.589083,71850513.0994444,113595508.228856,142114584.549128,89889239.3110939,95075118.4002282,113412163.910644,117029204.369085,265870412.550055,84006607.6214314,130200379.7517,47323483.9488126,64414633.4189999,87815725.3172841,77702867.3875782,58030168.7457917,220445729.054387,72505218.2308062,98102955.0155375,232361727.603916,418354.643920319,56124426.1042089,83588582.1113678
"M120T107",120.088662852213,120.088604108163,120.088796760143,106.9045,105.138,108.331,26,26,532934.472358863,3947466.77275521,4744369.33830761,4620485.04998281,6480797.00393125,5898073.01565624,3617676.47854048,5168829.16272727,5388346.39815703,7215364.62546307,4244486.86390625,5471679.99212656,4672695.47817187,4032728.85233203,4714442.23158594,5089542.10953047,4632061.74525117,1543387.84023351,5345993.65358594,4347034.22014844,4782677.14903409,7765248.10715186,5990318.4974375,4903243.90406448,3851703.19079403,1964915.18570694,935326.781757457,4757822.95485918,2957026.4175957
