"sample.name","group"
"X250K1_pos","."
"CMD.CTRL.GP1_Brain_pos","."
"CMD.CTRL.GP1_Gastroc_pos","."
"CMD.CTRL.GP1_Heart_pos","."
"CMD.CTRL.GP1_Kidney_pos","."
"CMD.CTRL.GP1_Liver_pos","."
"CMD.CTRL.GP1_Pancreas_pos","."
"CMD.CTRL.GP1_Quad_pos","."
"CMD.CTRL.GP1_Spleen_pos","."
"CMD.GP2_Brain_pos","."
"CMD.GP2_Gastroc_pos","."
"CMD.GP2_Heart_pos","."
"CMD.GP2_Kidney_pos","."
"CMD.GP2_Liver_pos","."
"CMD.GP2_Pancreas_pos","."
"CMD.GP2_Quad_pos","."
"CMD.GP2_Spleen_pos","."
"CMD.GP3_Brain_pos","."
"CMD.GP3_Gastroc_pos","."
"CMD.GP3_Heart_pos","."
"CMD.GP3_Kidney_pos","."
"CMD.GP3_Liver_pos","."
"CMD.GP3_Pancreas_pos","."
"CMD.GP3_Quad_pos","."
"CMD.GP3_Spleen_pos","."
"QC.250K2_pos","."
"QC.Blank2_pos","."
"QC.Pool1_pos","."
"QC.Pool2_pos","."
