"name","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks",".","X250K1_pos","CMD.CTRL.GP1_Brain_pos","CMD.CTRL.GP1_Gastroc_pos","CMD.CTRL.GP1_Heart_pos","CMD.CTRL.GP1_Kidney_pos","CMD.CTRL.GP1_Liver_pos","CMD.CTRL.GP1_Pancreas_pos","CMD.CTRL.GP1_Quad_pos","CMD.CTRL.GP1_Spleen_pos","CMD.GP2_Brain_pos","CMD.GP2_Gastroc_pos","CMD.GP2_Heart_pos","CMD.GP2_Kidney_pos","CMD.GP2_Liver_pos","CMD.GP2_Pancreas_pos","CMD.GP2_Quad_pos","CMD.GP2_Spleen_pos","CMD.GP3_Brain_pos","CMD.GP3_Gastroc_pos","CMD.GP3_Heart_pos","CMD.GP3_Kidney_pos","CMD.GP3_Liver_pos","CMD.GP3_Pancreas_pos","CMD.GP3_Quad_pos","CMD.GP3_Spleen_pos","QC.250K2_pos","QC.Blank2_pos","QC.Pool1_pos","QC.Pool2_pos"
"M464T762",464.080853639777,464.080764202079,464.081012074753,761.862,742.67,768.768,21,21,NA,5826112.33575416,NA,759684.249471872,2500155.67978125,685547.825568756,3028084.74854512,NA,1700491.65322909,11982685.249875,NA,501678.041814671,11233931.8574584,2127515.04012646,8378167.30916666,NA,6059212.87589365,4429401.34640689,NA,4900347.96653904,4126792.43889901,2297747.43230535,6469003.06716836,NA,3493286.59036849,563331.045681542,NA,662727.850325519,1891926.2929453
"M464T437",464.20571006769,464.205302084965,464.205915308726,436.71,429.144,441.019,26,19,NA,174881.000344483,NA,525974.773057997,823202.238751955,411614.268280469,1165381.44131528,NA,723665.154708986,1013065.6684209,53539.9554957029,NA,471160.826945528,583039.476401639,248644.236707195,NA,825889.355190106,NA,NA,277260.532157226,259425.190571614,272864.804248884,492102.840733641,NA,1058380.47546224,NA,NA,352814.676438921,548453.585737791
"M464T317",464.312993898987,464.312781349868,464.313086705928,317.157,302.77,328.363,20,17,NA,8371722.19575004,NA,NA,10890887.76695,NA,18536415.6323242,3533650.10913504,927573.662144533,53390573.9507043,6542814.33143466,3909903.99312501,NA,NA,7438455.78066256,2007015.33443749,13487222.4411992,6310420.23006252,2085489.67304686,5877138.73125,14305677.472465,NA,2622080.13000001,6349304.09930156,NA,NA,NA,NA,NA
"M464T344",464.31297352523,464.31255753816,464.313178936314,344.437,330.544,351.468,21,17,1128569.08822657,NA,2370521.73149531,NA,8485223.30622914,2133902.48677734,6135183.90692186,1327282.3565457,2225488.90992188,NA,NA,NA,5052436.5111198,2243880.57714843,NA,NA,NA,4492492.07383926,NA,8737804.92803572,3812785.50196357,1975664.10233672,3105660.00877031,1713088.0167539,NA,NA,NA,1336388.20294921,1932706.55719965
"M465T686",465.050465526122,465.050169213681,465.050601924512,685.754,665.273,701.492,20,15,NA,388818.929429967,NA,NA,8682295.82839061,1579844.87802579,1817110.32035827,NA,754782.56058984,NA,NA,NA,6113727.83765625,1429648.32561133,2793303.94385767,NA,661359.570474331,NA,158667.325125001,7813318.19174805,4828086.03475693,NA,2843706.62821875,NA,NA,NA,NA,580388.067376562,410971.889562504
"M465T760",465.084225017168,465.084109850593,465.084376016802,760.374,747.606,772.038,16,15,NA,1521900.98404135,NA,NA,608933.209734767,NA,709090.753421436,NA,386968.265258103,4099542.64895926,NA,NA,2885640.34080145,NA,1891287.80069444,NA,1320890.56841254,1697485.63321007,NA,1282050.19831684,1122611.96724609,601701.61485417,1573879.18243836,NA,868771.41122763,NA,NA,115823.946853125,NA
"M465T97",465.333339915302,465.33312110091,465.333540823695,96.5871,95.3022,97.3828,26,26,NA,20786211.4790859,12740960.0297324,6254353.16909562,5717458.52219253,5436630.87614947,12062237.8268977,13759392.7021221,20992223.5297352,10136218.4232893,10819307.2101466,12915003.6718524,6958313.61837222,3326984.9680349,20186745.1922719,14530517.3535187,26266941.1172,42872955.0289714,13274354.153336,10550038.2086809,9086982.29184171,4201206.87232882,18962080.4389092,17600303.3812266,22275478.3040152,NA,NA,11970499.1084438,16781487.0429427
"M465T98",465.356641752013,465.356375623512,465.35687595021,97.7991,93.2362,99.9036,21,21,NA,NA,3424841.40441305,3512194.69868734,1181284.63648704,NA,17341847.9357034,1567824.89252923,1578027.67231278,1339331.23197533,1366907.09548692,NA,712476.548821875,2639806.70702959,3436438.83774554,1912854.06382489,1892288.03604406,NA,2383452.3725976,1011789.80569787,937148.365826367,1587220.55180256,7881251.51639063,3181527.22671875,2479180.84426469,NA,NA,NA,1071977.7429113
"M466T639",465.991996464008,465.991844112691,465.992214694178,638.656,635.945,646.832,25,23,9390763.28937659,NA,828899.252492899,8721047.9081452,3298143.69977212,8052069.33200893,3887903.40441406,NA,7983223.95581331,7582922.47840493,NA,8309000.1207335,12926267.7815508,6844059.79590004,7973304.26926725,515367.567100003,31898015.0315632,4146462.68673958,NA,5133241.44946787,NA,8465025.57299476,11065233.5786619,620012.501231058,24555366.777853,13367576.5187344,NA,9499255.39490198,7371605.34627217
"M466T97",466.33667208887,466.336480656668,466.33688519497,96.6217,94.6183,118.776,28,24,NA,6072380.6966416,3818690.19419584,1234095.25926987,1523634.54496687,1218048.18361641,3351726.54233318,4667042.50689213,5817486.03998924,2675245.41056632,3043818.01738988,3058540.70040772,NA,NA,5338290.81829688,3645415.90679485,7311219.80177407,11718673.9063847,3836527.30587389,3277317.87853655,1959936.35846183,1120577.31867036,5310154.08492055,5230557.21513384,6329746.74679219,NA,NA,3412378.51503164,3951771.59203633
